code_iso2,nom,continent,region,population,superficie_km2,cote_maritime,pays_enclavé,ile,nombre_voisins,langue_principale,nombre_langues_officielles,monnaie,ue,hemisphere,climat_dominant,drapeau_couleurs,drapeau_multicolore,drapeau_elements,religion_principale,indice
BY,Biélorussie,Europe,Europe de l'Est,"9,4 M",207600,False,True,False,5,Biélorusse,2,Rouble biélorusse,False,Nord,continental,"rouge,vert,blanc",True,ornement,Christianisme (orthodoxe),"L'Europe orientale aux forêts de bouleaux, souvent surnommée le 'dernier État policier d'Europe'"
BE,Belgique,Europe,Europe de l'Ouest,"11,6 M",30528,True,False,False,4,Français,3+,Euro,True,Nord,tempéré,"noir,jaune,rouge",True,aucun,Christianisme (catholicisme),"Frites, gaufres, bières trappistes et Tintin : ce petit pays a tout inventé"
BZ,Belize,Amériques,Amérique centrale,440 K,22966,True,False,False,2,Anglais,1,Dollar de Belize,False,Nord,tropical,"bleu,rouge,blanc",True,armoiries,Christianisme,L'unique pays d'Amérique centrale dont la langue officielle est l'anglais
BJ,Bénin,Afrique,Afrique de l'Ouest,"13,7 M",112622,True,False,False,4,Français,1,Franc CFA,False,Nord,tropical,"vert,jaune,rouge",True,aucun,Multireligion,"Le berceau mondial du vodoun, entre palais royaux d'Abomey et côte atlantique"
BT,Bhoutan,Asie,Asie du Sud,782 K,38394,False,True,False,2,Dzongkha,1,Ngultrum,False,Nord,montagnard,"orange,jaune",False,dragon,Bouddhisme,Le seul pays au monde à mesurer le Bonheur National Brut à la place du PIB
BO,Bolivie,Amériques,Amérique du Sud,"12,3 M",1098581,False,True,False,5,Espagnol,3+,Boliviano,False,Nord,montagnard,"rouge,jaune,vert",True,armoiries,Christianisme (catholicisme),La seule nation sud-américaine avec deux capitales officielles et le plus grand désert de sel du monde
BA,Bosnie-Herzégovine,Europe,Europe du Sud / Europe de l'Est,"3,2 M",51197,False,True,False,3,Bosnien,3+,Mark convertible,False,Nord,continental,"bleu,jaune,blanc",True,"étoiles,triangle",Multireligion,Le pont de Mostar comme symbole d'un pays né des cendres de la guerre dans les Balkans
BW,Botswana,Afrique,Afrique australe,"2,6 M",581730,False,True,False,4,Anglais,2,Pula,False,Nord,aride,"bleu,blanc,noir",True,bandes,Christianisme,"L'un des pays les plus stables d'Afrique, où les éléphants sont presque aussi nombreux que les habitants"
BR,Brésil,Amériques,Amérique du Sud,"215,3 M",8515767,True,False,False,10,Portugais,1,Real,False,Nord,tropical,"vert,jaune,bleu",True,"étoiles,globe",Christianisme (catholicisme),"La samba, Copacabana et la plus grande forêt tropicale de la planète"
BN,Brunei,Asie,Asie du Sud-Est,442 K,5765,True,False,False,1,Malais,1,Dollar de Brunei,False,Nord,tropical,"jaune,blanc,noir",True,"armoiries,croissant",Islam,Le sultanat prospère de Bornéo qui offre l'essence gratuite à ses citoyens
BG,Bulgarie,Europe,Europe de l'Est / Europe du Sud,"6,2 M",110879,True,False,False,5,Bulgare,1,Lev,True,Nord,continental,"blanc,vert,rouge",True,aucun,Christianisme (orthodoxe),"Premier producteur mondial de rose à parfum, sur les rives de la mer Noire"
BF,Burkina Faso,Afrique,Afrique de l'Ouest,"22,7 M",274222,False,True,False,6,Français,1,Franc CFA,False,Nord,aride,"rouge,vert,jaune",True,étoile,Islam,La 'Patrie des hommes intègres' — c'est littéralement ce que signifie son nom
BI,Burundi,Afrique,Afrique de l'Est,"12,9 M",27834,False,True,False,3,Kirundi,3+,Franc burundais,False,Nord,tropical,"rouge,blanc,vert",True,étoiles,Christianisme (catholicisme),"Le tambour sacré et le lac Tanganyika, deuxième plus profond au monde, joyaux de l'Afrique des Grands Lacs"
KH,Cambodge,Asie,Asie du Sud-Est,"16,8 M",181035,True,False,False,3,Khmer,1,Riel,False,Nord,tropical,"bleu,rouge",False,temple,Bouddhisme,"Les temples d'Angkor Vat, plus grand complexe religieux jamais construit par l'homme"
CM,Cameroun,Afrique,Afrique centrale / Afrique de l'Ouest,"28,6 M",475442,True,False,False,6,Français,2,Franc CFA,False,Nord,tropical,"vert,rouge,jaune",True,étoile,Multireligion,Souvent appelée 'l'Afrique en miniature' tant sa diversité climatique et culturelle est unique
CA,Canada,Amériques,Amérique du Nord,"38,2 M",9984670,True,False,False,1,Anglais,2,Dollar canadien,False,Nord,continental,"rouge,blanc",False,feuille d'érable,Christianisme,L'immense voisin du Nord avec plus de lacs que tous les autres pays réunis
CV,Cap-Vert,Afrique,Afrique de l'Ouest,556 K,4033,True,False,True,0,Portugais,1,Escudo cap-verdien,False,Nord,aride,"bleu,blanc,rouge,jaune",True,"étoiles,cercle",Christianisme (catholicisme),"Dix îles volcaniques surgies de l'Atlantique, berceau de la mélancolique musique morna"
CF,République centrafricaine,Afrique,Afrique centrale,"5,6 M",622984,False,True,False,6,Français,2,Franc CFA,False,Nord,tropical,"bleu,blanc,vert,jaune,rouge",True,étoile,Multireligion,"Le cœur géographique du continent, riche en diamants bruts mais parmi les pays les moins développés"
TD,Tchad,Afrique,Afrique centrale / Afrique du Nord,"18,3 M",1284000,False,True,False,6,Français,2,Franc CFA,False,Nord,aride,"bleu,jaune,rouge",True,aucun,Multireligion,Un lac qui rétrécit chaque décennie mais qui donne son nom à ce vaste pays du Sahel
CL,Chili,Amériques,Amérique du Sud,"19,6 M",756102,True,False,False,3,Espagnol,1,Peso chilien,False,Nord,tempéré,"rouge,blanc,bleu",True,étoile,Christianisme (catholicisme),Le pays le plus long du monde : 4 300 km du désert d'Atacama aux glaciers de Patagonie
CN,Chine,Asie,Asie de l'Est,1 412 M,9596960,True,False,False,14,Mandarin,1,Yuan,False,Nord,continental,"rouge,jaune",False,étoiles,Multireligion,"La Grande Muraille, les baguettes (à manger!) et 1,4 milliard de raisons de s'y perdre"
CO,Colombie,Amériques,Amérique du Sud,"52,2 M",1141748,True,False,False,5,Espagnol,1,Peso colombien,False,Nord,tropical,"jaune,bleu,rouge",True,aucun,Christianisme (catholicisme),"Le premier producteur mondial de fleurs coupées, coincé entre deux océans"
KM,Comores,Afrique,Afrique de l'Est,888 K,1862,True,False,False,0,Comorien,3+,Franc comorien,False,Nord,tropical,"bleu,vert,blanc,rouge,jaune",True,"croissant,étoiles",Islam,"Premier producteur mondial d'ylang-ylang, les îles de la lune dans l'océan Indien"
CG,Congo,Afrique,Afrique centrale,"5,8 M",342000,True,False,False,4,Français,1,Franc CFA,False,Nord,tropical,"vert,jaune,rouge",True,aucun,Christianisme,"La rive droite du grand fleuve équatorial, souvent confondue avec son grand voisin homonyme"
CD,République démocratique du Congo,Afrique,Afrique centrale,"102,3 M",2344858,False,True,False,9,Français,1,Franc congolais,False,Nord,tropical,"bleu,rouge,jaune",True,étoile,Christianisme,Le plus grand pays francophone du monde et le fleuve le plus profond de la planète
CR,Costa Rica,Amériques,Amérique centrale,"5,2 M",51100,True,False,False,2,Espagnol,1,Colón,False,Nord,tropical,"bleu,blanc,rouge",True,armoiries,Christianisme (catholicisme),"Le pays sans armée depuis 1948, champion mondial de la biodiversité par km²"
HR,Croatie,Europe,Europe du Sud / Europe centrale,"3,9 M",56594,True,False,False,5,Croate,1,Euro,True,Nord,méditerranéen,"rouge,blanc,bleu",True,"armoiries,damier",Christianisme (catholicisme),"La cravate a été inventée ici, et les eaux adriatiques n'ont rien à lui envier"
CU,Cuba,Amériques,Caraïbes,"11,1 M",109884,True,False,False,0,Espagnol,1,Peso cubain,False,Nord,tropical,"bleu,blanc,rouge",True,"étoile,triangle",Multireligion,"L'île des cigares tordus à la main, de la salsa et des vieilles Américaines qui roulent encore"
CY,Chypre,Europe,Europe du Sud,"1,2 M",9251,True,False,True,0,Grec,2,Euro,True,Nord,méditerranéen,"blanc,orange",False,"carte,rameaux",Christianisme (orthodoxe),"L'île d'Aphrodite, troisième plus grande de Méditerranée, coupée en deux depuis 1974"
CZ,Tchéquie,Europe,Europe centrale,"10,9 M",78866,False,True,False,4,Tchèque,1,Couronne tchèque,True,Nord,tempéré,"bleu,blanc,rouge",True,triangle,Multireligion,La capitale dorée et la consommation de bière la plus haute par habitant au monde
DK,Danemark,Europe,Europe du Nord,"5,9 M",43094,True,False,False,1,Danois,1,Couronne danoise,True,Nord,tempéré,"rouge,blanc",False,croix,Christianisme (protestantisme),"Les Vikings reconvertis en experts du design, du hygge et du Lego depuis le XIe siècle"
DJ,Djibouti,Afrique,Afrique de l'Est / Corne de l'Afrique,988 K,23200,True,False,False,3,Français,2,Franc djiboutien,False,Nord,aride,"bleu,vert,blanc,rouge",True,"étoile,triangle",Islam,"Un tout petit pays mais l'un des ports les plus stratégiques au monde, à l'entrée de la mer Rouge"
DM,Dominique,Amériques,Caraïbes,73 K,750,True,False,True,0,Anglais,1,Dollar des Caraïbes orientales,False,Nord,tropical,"vert,jaune,noir,blanc,rouge",True,"perroquet,croix",Christianisme (catholicisme),Ne pas confondre avec sa voisine : c'est l'île Nature aux volcans actifs et aux perroquets rares
DO,République dominicaine,Amériques,Caraïbes,"10,9 M",48671,True,False,False,1,Espagnol,1,Peso dominicain,False,Nord,tropical,"bleu,rouge,blanc",True,"armoiries,croix",Christianisme (catholicisme),"La moitié orientale d'une île partagée avec son voisin, championne de merengue et de baseball"
EC,Équateur,Amériques,Amérique du Sud,"18,0 M",283561,True,False,False,2,Espagnol,1,Dollar américain,False,Nord,tropical,"jaune,bleu,rouge",True,armoiries,Christianisme (catholicisme),"Le vrai chapeau Panama est fabriqué ici, et les Galápagos appartiennent à ce petit pays"
EG,Égypte,Afrique,Afrique du Nord / Asie de l'Ouest,"105,9 M",1002450,True,False,False,4,Arabe,1,Livre égyptienne,False,Nord,aride,"rouge,blanc,noir",True,aigle,Islam,"Les pyramides, le Nil et 5 000 ans de civilisation regardant le désert impassible"
SV,Salvador,Amériques,Amérique centrale,"6,3 M",21041,True,False,False,2,Espagnol,1,Dollar américain,False,Nord,tropical,"bleu,blanc",False,armoiries,Christianisme,"Le plus petit et le plus dense des pays d'Amérique centrale, sans lac naturel"
GQ,Guinée équatoriale,Afrique,Afrique centrale,"1,5 M",28051,True,False,False,2,Espagnol,3+,Franc CFA,False,Nord,tropical,"vert,blanc,rouge,bleu",True,"arbre,armoiries",Christianisme (catholicisme),"Le seul pays hispanophone d'Afrique noire, à cheval sur le continent et des îles du golfe"
ER,Érythrée,Afrique,Afrique de l'Est / Corne de l'Afrique,"3,6 M",117600,True,False,False,3,Tigrigna,3+,Nakfa,False,Nord,aride,"vert,rouge,bleu,jaune",True,branche d'olivier,Multireligion,"L'une des nations les plus récentes d'Afrique, dont le nom vient de la mer qui la borde"
EE,Estonie,Europe,Europe du Nord,"1,3 M",45228,True,False,False,2,Estonien,1,Euro,True,Nord,tempéré,"bleu,noir,blanc",True,aucun,Multireligion,Premier pays au monde à avoir organisé des élections nationales sur Internet en 2005
SZ,Eswatini,Afrique,Afrique australe,"1,2 M",17364,False,True,False,2,Swati,2,Lilangeni,False,Nord,montagnard,"bleu,jaune,rouge",True,"bouclier,lance",Christianisme,"Le dernier royaume absolu d'Afrique, entouré uniquement par deux pays voisins"
ET,Éthiopie,Afrique,Afrique de l'Est / Corne de l'Afrique,"126,5 M",1104300,True,False,False,6,Amharique,1,Birr,False,Nord,tropical,"vert,jaune,rouge,bleu",True,"étoile,cercle",Multireligion,"Le berceau de l'humanité, du café et des meilleurs coureurs de fond de la planète"
FJ,Fidji,Océanie,Océanie,930 K,18272,True,False,True,0,Anglais,3+,Dollar fidjien,False,Sud,tropical,"bleu,blanc",False,"Union Jack,armoiries",Christianisme,"Un archipel de 330 îles, un sourire légendaire et une cérémonie du kava incontournable"
FI,Finlande,Europe,Europe du Nord,"5,5 M",338424,True,False,False,3,Finnois,2,Euro,True,Nord,continental,"bleu,blanc",False,croix,Christianisme (protestantisme),"Championne mondiale du bonheur et de l'éducation, avec un sauna pour deux habitants"
FR,France,Europe,Europe de l'Ouest,"68,1 M",551695,True,False,False,8,Français,1,Euro,True,Nord,tempéré,"bleu,blanc,rouge",True,aucun,Christianisme (catholicisme),"Le pays de la baguette, des bérets et de la Tour Eiffel bien sûr !"
GA,Gabon,Afrique,Afrique centrale,"2,3 M",267668,True,False,False,3,Français,1,Franc CFA,False,Nord,tropical,"vert,jaune,bleu",True,aucun,Christianisme (catholicisme),Pionnier de la conservation en Afrique : 88% du territoire couvert de forêt équatoriale
GM,Gambie,Afrique,Afrique de l'Ouest,"2,6 M",11295,True,False,False,1,Anglais,1,Dalasi,False,Nord,tropical,"rouge,bleu,vert,blanc",True,aucun,Islam,"Si étroit que l'on peut le traverser en voiture en deux heures, entouré par un seul voisin"
GE,Géorgie,Europe,Asie de l'Ouest / Caucase,"3,7 M",69700,True,False,False,4,Géorgien,1,Lari,False,Nord,continental,"blanc,rouge",False,croix,Christianisme (orthodoxe),"Le pays où l'on a fabriqué du vin dans des amphores il y a 8 000 ans, selon l'archéologie"
DE,Allemagne,Europe,Europe de l'Ouest,"84,1 M",357114,True,False,False,9,Allemand,1,Euro,True,Nord,tempéré,"noir,rouge,jaune",True,aucun,Christianisme,"La première économie d'Europe, entre Oktoberfest, autobahn sans limite et génie de l'ingénierie"
GH,Ghana,Afrique,Afrique de l'Ouest,"33,5 M",238533,True,False,False,3,Anglais,1,Cedi,False,Nord,tropical,"rouge,or,vert",True,étoile,Multireligion,"Le premier pays d'Afrique subsaharienne à avoir obtenu son indépendance, en 1957"
GR,Grèce,Europe,Europe du Sud / Europe de l'Est,"10,4 M",131957,True,False,False,4,Grec,1,Euro,True,Nord,méditerranéen,"bleu,blanc",False,"croix,rayures",Christianisme (orthodoxe),"Le berceau de la démocratie, des Jeux olympiques et de la philosophie occidentale"
GD,Grenade,Amériques,Caraïbes,125 K,344,True,False,True,0,Anglais,1,Dollar des Caraïbes orientales,False,Nord,tropical,"rouge,jaune,vert",True,"étoiles,muscade",Christianisme (catholicisme),"L'île aux épices, deuxième producteur mondial de muscade après l'Indonésie"
GT,Guatemala,Amériques,Amérique centrale,"17,8 M",108889,True,False,False,4,Espagnol,1,Quetzal,False,Nord,tropical,"bleu,blanc",False,"armoiries,oiseau",Christianisme,"Le cœur du monde maya, avec un lac volcanique considéré comme le plus beau des Amériques"
GN,Guinée,Afrique,Afrique de l'Ouest,"13,9 M",245857,True,False,False,6,Français,1,Franc guinéen,False,Nord,tropical,"rouge,jaune,vert",True,aucun,Islam,"Le 'château d'eau' de l'Afrique de l'Ouest, avec les plus grandes réserves mondiales de bauxite"
GW,Guinée-Bissau,Afrique,Afrique de l'Ouest,"2,1 M",36125,True,False,False,2,Portugais,1,Franc CFA,False,Nord,tropical,"rouge,jaune,vert,noir",True,étoile,Islam,"L'archipel des Bijagós, classé réserve de biosphère UNESCO et presque inconnu des touristes"
GY,Guyana,Amériques,Amérique du Sud,800 K,214969,True,False,False,3,Anglais,1,Dollar guyanais,False,Nord,tropical,"vert,blanc,jaune,rouge,noir",True,"triangle,flèche",Multireligion,"Le seul pays anglophone d'Amérique du Sud, avec les chutes Kaieteur parmi les plus puissantes"
HT,Haïti,Amériques,Caraïbes,"11,7 M",27750,True,False,False,1,Français,2,Gourde,False,Nord,tropical,"bleu,rouge",False,armoiries,Christianisme,"La première République noire de l'histoire, née d'une révolte d'esclaves victorieuse en 1804"
HN,Honduras,Amériques,Amérique centrale,"10,3 M",112492,True,False,False,3,Espagnol,1,Lempira,False,Nord,tropical,"bleu,blanc",False,étoiles,Christianisme (catholicisme),Les ruines mayas de Copán et les récifs coralliens de la deuxième barrière mondiale
HU,Hongrie,Europe,Europe centrale,"9,7 M",93028,False,True,False,7,Hongrois,1,Forint,True,Nord,continental,"rouge,blanc,vert",True,aucun,Christianisme (catholicisme),"Sa langue est agglutinante et l'une des plus difficiles d'Europe, et sa capitale possède les plus beaux bains thermaux"
IS,Islande,Europe,Europe du Nord,376 K,103000,True,False,True,0,Islandais,1,Couronne islandaise,False,Nord,polaire,"bleu,blanc,rouge",True,croix,Christianisme (protestantisme),"La terre qui n'a ni armée, ni moustique, ni reptile sauvage, mais des aurores boréales à foison"
IN,Inde,Asie,Asie du Sud,1 438 M,3287263,True,False,False,6,Hindi,2,Roupie indienne,False,Nord,tropical,"orange,blanc,vert,bleu",True,roue,Hindouisme,"1,4 milliard d'habitants, 22 langues officielles et les meilleurs currys de la planète"
ID,Indonésie,Asie,Asie du Sud-Est,"275,5 M",1904569,True,False,True,3,Indonésien,1,Roupiah,False,Nord,tropical,"rouge,blanc",False,aucun,Islam,Le plus grand archipel du monde : 17 000 îles et la quatrième population mondiale
IR,Iran,Asie,Asie de l'Ouest,"87,9 M",1648195,True,False,False,7,Persan,1,Rial,False,Nord,aride,"vert,blanc,rouge",True,"emblème,écriture",Islam,"L'ancienne Perse, berceau des tapis noués à la main et de la poésie de Rumi"
IQ,Irak,Asie,Asie de l'Ouest,"42,2 M",438317,True,False,False,6,Arabe,2,Dinar irakien,False,Nord,aride,"rouge,blanc,noir,vert",True,écriture,Islam,"Entre deux fleuves légendaires, là où l'écriture et les premières villes sont nées"
IE,Irlande,Europe,Europe de l'Ouest,"5,1 M",70273,True,False,True,1,Anglais,2,Euro,True,Nord,tempéré,"vert,blanc,orange",True,aucun,Christianisme (catholicisme),L'île Émeraude aux pubs chaleureux et aux falaises vertigineuses de Moher
IL,Israël,Asie,Asie de l'Ouest,"9,7 M",22072,True,False,False,5,Hébreu,2,Shekel,False,Nord,méditerranéen,"bleu,blanc",False,étoile de David,Judaïsme,"La Terre Sainte, berceau des trois religions monothéistes, sur 22 000 km² seulement"
IT,Italie,Europe,Europe du Sud,"58,9 M",301340,True,False,False,6,Italien,1,Euro,True,Nord,méditerranéen,"vert,blanc,rouge",True,aucun,Christianisme (catholicisme),"Pizza, pasta, Colisée et dolce vita : la botte la plus savoureuse du monde !"
JM,Jamaïque,Amériques,Caraïbes,"2,8 M",10991,True,False,True,0,Anglais,1,Dollar jamaïcain,False,Nord,tropical,"noir,vert,jaune",True,"croix,étoile",Christianisme,"L'île natale du reggae, de Bob Marley et des sprinters les plus rapides de la planète"
JP,Japon,Asie,Asie de l'Est,"124,5 M",377975,True,False,True,0,Japonais,1,Yen,False,Nord,tempéré,"blanc,rouge",False,disque solaire,Multireligion,"Le soleil levant, les sakuras et les distributeurs automatiques à tous les coins de rue"
JO,Jordanie,Asie,Asie de l'Ouest,"10,2 M",89342,True,False,False,5,Arabe,1,Dinar jordanien,False,Nord,aride,"noir,blanc,vert,rouge",True,"étoile,triangle",Islam,"La cité rose taillée dans la roche, la mer la plus salée du monde et le site du baptême de Jésus"
KZ,Kazakhstan,Asie,Asie centrale / Europe de l'Est,"19,3 M",2724900,False,True,False,5,Kazakh,2,Tenge,False,Nord,continental,"bleu,jaune",False,"soleil,aigle",Islam,"Le deuxième plus grand pays d'Asie centrale, dont Borat a légèrement abîmé la réputation"
KE,Kenya,Afrique,Afrique de l'Est,"56,4 M",580367,True,False,False,5,Swahili,2,Shilling kényan,False,Nord,tropical,"noir,vert,rouge,blanc",True,"bouclier,lance",Christianisme,"La Vallée du Rift, les marathoniens champions du monde et la plus grande migration animale"
KI,Kiribati,Océanie,Océanie,122 K,811,True,False,True,0,Anglais,2,Dollar australien,False,Nord,tropical,"rouge,bleu,jaune",True,"soleil,oiseau,vagues",Christianisme (catholicisme),L'archipel qui sera le premier à disparaître sous les eaux à cause du réchauffement climatique
KP,Corée du Nord,Asie,Asie de l'Est,"25,9 M",120538,True,False,False,3,Coréen,1,Won nord-coréen,False,Nord,continental,"bleu,rouge,blanc",True,étoile,Multireligion,"Le pays le plus isolé du monde, dont on ne voit aucune lumière la nuit vue de l'espace"
KR,Corée du Sud,Asie,Asie de l'Est,"51,7 M",100210,True,False,False,1,Coréen,1,Won sud-coréen,False,Nord,continental,"blanc,rouge,bleu,noir",True,"symboles,yin-yang",Multireligion,"K-pop, kimchi, smartphones et manhwa au pays qui s'éveille avec le soleil levant"
KW,Koweït,Asie,Asie de l'Ouest,"4,3 M",17818,True,False,False,2,Arabe,1,Dinar koweïtien,False,Nord,aride,"vert,blanc,rouge,noir",True,trapèze,Islam,La cité-État pétrolière dont les citoyens ne paient ni impôts ni factures d'électricité
KG,Kirghizistan,Asie,Asie centrale,"7,0 M",199951,False,True,False,4,Kirghiz,2,Som,False,Nord,continental,"rouge,jaune",False,"soleil,toundouk",Islam,"Les yourtes nomades et le lac Issyk-Koul, deuxième plus grand lac de montagne du monde"
LA,Laos,Asie,Asie du Sud-Est,"7,5 M",236800,False,True,False,5,Laotien,1,Kip,False,Nord,tropical,"rouge,bleu,blanc",True,disque,Bouddhisme,"Le pays le plus bombardé per capita de l'histoire, reconverti en joyau bouddhiste du Mékong"
LV,Lettonie,Europe,Europe du Nord,"1,8 M",64589,True,False,False,4,Letton,1,Euro,True,Nord,tempéré,"rouge,blanc",False,aucun,Christianisme (protestantisme),"Le pays de l'ambre, des forêts de bouleaux et du chant choral inscrit au patrimoine de l'UNESCO"
LB,Liban,Asie,Asie de l'Ouest,"5,4 M",10452,True,False,False,2,Arabe,1,Livre libanaise,False,Nord,méditerranéen,"rouge,blanc,vert",True,cèdre,Multireligion,"La Suisse du Moyen-Orient : montagne, mer, gastronomie et mosaïque de religions"
LS,Lesotho,Afrique,Afrique australe,"2,3 M",30355,False,True,False,1,Sotho,2,Loti,False,Nord,montagnard,"bleu,blanc,vert,noir",True,"chapeau,bouclier",Christianisme,L'un des trois seuls pays au monde entièrement enclavés dans un unique autre pays
LR,Liberia,Afrique,Afrique de l'Ouest,"5,4 M",111369,True,False,False,3,Anglais,1,Dollar libérien,False,Nord,tropical,"rouge,blanc,bleu",True,"étoile,rayures",Christianisme,"La première République d'Afrique, fondée en 1847 par des anciens esclaves affranchis américains"
LY,Libye,Afrique,Afrique du Nord,"7,1 M",1759541,True,False,False,6,Arabe,1,Dinar libyen,False,Nord,aride,"rouge,noir,vert,blanc",True,"croissant,étoile",Islam,"Le plus grand pays d'Afrique du Nord, avec des ruines romaines cachées dans le désert"
LI,Liechtenstein,Europe,Europe centrale,38 K,160,False,True,False,2,Allemand,1,Franc suisse,False,Nord,montagnard,"bleu,rouge,jaune",True,couronne,Christianisme (catholicisme),L'un des deux pays enclavés dans deux autres pays sans aucun accès à la mer — et sans armée depuis 1868
LT,Lituanie,Europe,Europe du Nord,"2,8 M",65300,True,False,False,4,Lituanien,1,Euro,True,Nord,tempéré,"jaune,vert,rouge",True,aucun,Christianisme (catholicisme),"La dernière nation d'Europe à se convertir au christianisme, gardienne de l'ambre balte"
LU,Luxembourg,Europe,Europe de l'Ouest,660 K,2586,False,True,False,3,Luxembourgeois,3+,Euro,True,Nord,tempéré,"rouge,blanc,bleu",True,aucun,Christianisme (catholicisme),"Le pays au PIB par habitant le plus élevé d'Europe, grand comme un département français"
MG,Madagascar,Afrique,Afrique de l'Est,"28,9 M",587041,True,False,True,0,Malgache,2,Ariary,False,Nord,tropical,"rouge,vert,blanc",True,aucun,Multireligion,"La quatrième plus grande île du monde, coupée du reste depuis 88 millions d'années"
MW,Malawi,Afrique,Afrique de l'Est,"20,4 M",118484,False,True,False,3,Chichewa,3+,Kwacha,False,Nord,tropical,"noir,rouge,vert,soleil",True,soleil,Christianisme,Le lac qui porte son nom abrite plus d'espèces de poissons que tout autre lac de la planète
MY,Malaisie,Asie,Asie du Sud-Est,"33,6 M",329847,True,False,False,3,Malais,1,Ringgit,False,Nord,tropical,"rouge,blanc,bleu,jaune",True,"croissant,étoile,rayures",Islam,Les tours jumelles les plus célèbres d'Asie et la jungle partagée avec deux pays voisins
